country,year,asset_class,value
Antigua and Barbuda,2005,Equity,0.032
Antigua and Barbuda,2005,LT Debt,0.002
Antigua and Barbuda,2005,ST Debt,0
Antigua and Barbuda,2004,Total,0.012
Antigua and Barbuda,2004,Equity,0.012
Antigua and Barbuda,2004,LT Debt,NA
Antigua and Barbuda,2004,ST Debt,0
Antigua and Barbuda,2003,Total,0.001
Antigua and Barbuda,2003,Equity,0.001
Antigua and Barbuda,2003,LT Debt,NA
Antigua and Barbuda,2003,ST Debt,0
Argentina,2020,Total,17.864
Argentina,2020,Equity,1.762
Argentina,2020,LT Debt,15.472
Argentina,2020,ST Debt,0.63
Argentina,2019,Total,22.485
Argentina,2019,Equity,3.013
Argentina,2019,LT Debt,19.032
Argentina,2019,ST Debt,0.44
Argentina,2018,Total,34.412
Argentina,2018,Equity,4.225
Argentina,2018,LT Debt,27.821
Argentina,2018,ST Debt,2.366
Argentina,2017,Total,44.51
Argentina,2017,Equity,9.255
Argentina,2017,LT Debt,32.24
Argentina,2017,ST Debt,3.015
Argentina,2016,Total,24.714
Argentina,2016,Equity,3.295
Argentina,2016,LT Debt,21.053
Argentina,2016,ST Debt,0.366
Argentina,2015,Total,15.071
Argentina,2015,Equity,2.622
Argentina,2015,LT Debt,12.45
Argentina,2015,ST Debt,NA
Argentina,2014,Total,16.046
Argentina,2014,Equity,3.54
Argentina,2014,LT Debt,12.506
Argentina,2014,ST Debt,NA
Argentina,2013,Total,9.067
Argentina,2013,Equity,2.945
Argentina,2013,LT Debt,6.122
Argentina,2013,ST Debt,NA
Argentina,2012,Total,7.11
Argentina,2012,Equity,1.61
Argentina,2012,LT Debt,5.5
Argentina,2012,ST Debt,NA
Argentina,2011,Total,9.584
Argentina,2011,Equity,2.921
Argentina,2011,LT Debt,6.663
Argentina,2011,ST Debt,NA
Argentina,2010,Total,10.795
Argentina,2010,Equity,2.599
Argentina,2010,LT Debt,8.177
Argentina,2010,ST Debt,0.019
Argentina,2009,Total,7.296
Argentina,2009,Equity,1.168
Argentina,2009,LT Debt,6.113
Argentina,2009,ST Debt,0.015
Argentina,2008,Total,4.247
Argentina,2008,Equity,0.719
Argentina,2008,LT Debt,3.508
Argentina,2008,ST Debt,0.019
Argentina,2007,Total,9.872
Argentina,2007,Equity,1.931
Argentina,2007,LT Debt,7.898
Argentina,2007,ST Debt,0.043
Argentina,2006,Total,11.019
Argentina,2006,Equity,1.844
Argentina,2006,LT Debt,9.135
Argentina,2006,ST Debt,0.039
Argentina,2005,Total,6.853
Argentina,2005,Equity,1.144
Argentina,2005,LT Debt,5.696
Argentina,2005,ST Debt,0.012
Argentina,2004,Total,4.827
Argentina,2004,Equity,1.161
Argentina,2004,LT Debt,3.664
Argentina,2004,ST Debt,0.001
Argentina,2003,Total,4.315
Argentina,2003,Equity,0.846
Argentina,2003,LT Debt,3.458
Argentina,2003,ST Debt,0.011
Armenia,2020,Total,0.227
Armenia,2020,Equity,0
Armenia,2020,LT Debt,0.227
Armenia,2020,ST Debt,0
Armenia,2019,Total,0.258
Armenia,2019,Equity,0
Armenia,2019,LT Debt,0.258
Armenia,2019,ST Debt,0
Armenia,2018,Total,0.223
Armenia,2018,Equity,0
Armenia,2018,LT Debt,0.223
Armenia,2018,ST Debt,0
Armenia,2017,Total,0.284
Armenia,2017,Equity,0
Armenia,2017,LT Debt,0.284
Armenia,2017,ST Debt,0
Armenia,2016,Total,0.426
Armenia,2016,Equity,0
Armenia,2016,LT Debt,0.425
Armenia,2016,ST Debt,0.001
Armenia,2015,Total,0.444
Armenia,2015,Equity,0
Armenia,2015,LT Debt,0.444
Armenia,2015,ST Debt,0
Armenia,2014,Total,0.216
Armenia,2014,Equity,0
Armenia,2014,LT Debt,0.216
Armenia,2014,ST Debt,0
Armenia,2013,Total,0.221
Armenia,2013,Equity,0
Armenia,2013,LT Debt,0.221
Armenia,2013,ST Debt,0
Armenia,2012,Total,0
Armenia,2012,Equity,0
Armenia,2012,LT Debt,0
Armenia,2012,ST Debt,0
Armenia,2011,Total,0
Armenia,2011,Equity,0
Armenia,2011,LT Debt,0
Armenia,2011,ST Debt,0
Armenia,2010,Total,0
Armenia,2010,Equity,0
Armenia,2010,LT Debt,0
Armenia,2010,ST Debt,0
Armenia,2009,Total,0
Armenia,2009,Equity,0
Armenia,2009,LT Debt,0
Armenia,2009,ST Debt,0
Armenia,2008,Total,0
Armenia,2008,Equity,0
Armenia,2008,LT Debt,0
Armenia,2008,ST Debt,0
Armenia,2007,Total,0
Armenia,2007,Equity,0
Armenia,2007,LT Debt,0
Armenia,2007,ST Debt,0
Armenia,2006,Total,0
Armenia,2006,Equity,0
Armenia,2006,LT Debt,0
Armenia,2006,ST Debt,0
Armenia,2005,Total,0
Armenia,2005,Equity,0
Armenia,2005,LT Debt,0
Armenia,2005,ST Debt,0
Armenia,2004,Total,0
Armenia,2004,Equity,0
Armenia,2004,LT Debt,0
Armenia,2004,ST Debt,0
Armenia,2003,Total,0
Armenia,2003,Equity,0
Armenia,2003,LT Debt,0
Armenia,2003,ST Debt,0
Aruba,2020,Total,0.191
Aruba,2020,Equity,0
Aruba,2020,LT Debt,0.191
Aruba,2020,ST Debt,0
Aruba,2019,Total,0.225
Aruba,2019,Equity,0
Aruba,2019,LT Debt,0.225
Aruba,2019,ST Debt,0
Aruba,2018,Total,0.223
Aruba,2018,Equity,0
Aruba,2018,LT Debt,0.223
Aruba,2018,ST Debt,0
Aruba,2017,Total,0.189
Aruba,2017,Equity,0
Aruba,2017,LT Debt,0.189
Aruba,2017,ST Debt,0
Aruba,2016,Total,0.2
Aruba,2016,Equity,0
Aruba,2016,LT Debt,0.2
Aruba,2016,ST Debt,0
Aruba,2015,Total,0.142
Aruba,2015,Equity,0
Aruba,2015,LT Debt,0.142
Aruba,2015,ST Debt,0
Aruba,2014,Total,0.167
Aruba,2014,Equity,0
Aruba,2014,LT Debt,0.167
Aruba,2014,ST Debt,0
Aruba,2013,Total,0.172
Aruba,2013,Equity,0
Aruba,2013,LT Debt,0.172
Aruba,2013,ST Debt,0
Aruba,2012,Total,0.502
Aruba,2012,Equity,0
Aruba,2012,LT Debt,0.502
Aruba,2012,ST Debt,0
Aruba,2011,Total,0.548
Aruba,2011,Equity,NA
Aruba,2011,LT Debt,0.548
Aruba,2011,ST Debt,0
Aruba,2010,Total,0.637
Aruba,2010,Equity,0
Aruba,2010,LT Debt,0.637
Aruba,2010,ST Debt,0
Aruba,2009,Total,0.848
Aruba,2009,Equity,0
Aruba,2009,LT Debt,0.848
Aruba,2009,ST Debt,0
Aruba,2008,Total,0.908
Aruba,2008,Equity,0
Aruba,2008,LT Debt,0.908
Aruba,2008,ST Debt,0
Aruba,2007,Total,1.102
Aruba,2007,Equity,0
Aruba,2007,LT Debt,1.102
Aruba,2007,ST Debt,0
Aruba,2006,Total,1.272
Aruba,2006,Equity,0
Aruba,2006,LT Debt,1.272
Aruba,2006,ST Debt,0
Aruba,2005,Total,1.189
Aruba,2005,Equity,0
Aruba,2005,LT Debt,1.189
Aruba,2005,ST Debt,0
Aruba,2004,Total,1.114
Aruba,2004,Equity,NA
Aruba,2004,LT Debt,1.114
Aruba,2004,ST Debt,0
Aruba,2003,Total,0.906
Aruba,2003,Equity,0
Aruba,2003,LT Debt,0.906
Aruba,2003,ST Debt,0
Australia ,2020,Total,377.721
Australia ,2020,Equity,227.17
Australia ,2020,LT Debt,125.662
Australia ,2020,ST Debt,24.889
Australia ,2019,Total,366.041
Australia ,2019,Equity,201.612
Australia ,2019,LT Debt,120.589
Australia ,2019,ST Debt,43.84
Australia ,2018,Total,332.563
Australia ,2018,Equity,174.389
Australia ,2018,LT Debt,112.784
Australia ,2018,ST Debt,45.39
Australia ,2017,Total,354.873
Australia ,2017,Equity,196.772
Australia ,2017,LT Debt,114.416
Australia ,2017,ST Debt,43.686
Australia ,2016,Total,296.183
Australia ,2016,Equity,160.634
Australia ,2016,LT Debt,110.35
Australia ,2016,ST Debt,25.199
Australia ,2015,Total,295.958
Australia ,2015,Equity,139.312
Australia ,2015,LT Debt,112.838
Australia ,2015,ST Debt,43.809
Australia ,2014,Total,311.486
Australia ,2014,Equity,140.2
Australia ,2014,LT Debt,127.636
Australia ,2014,ST Debt,43.65
Australia ,2013,Total,337.805
Australia ,2013,Equity,144.154
Australia ,2013,LT Debt,140.725
Australia ,2013,ST Debt,52.926
Australia ,2012,Total,351.065
Australia ,2012,Equity,146.943
Australia ,2012,LT Debt,142.448
Australia ,2012,ST Debt,61.673
Australia ,2011,Total,333.584
Australia ,2011,Equity,128.646
Australia ,2011,LT Debt,141.991
Australia ,2011,ST Debt,62.947
Australia ,2010,Total,323.303
Australia ,2010,Equity,149.72
Australia ,2010,LT Debt,122.978
Australia ,2010,ST Debt,50.605
Australia ,2009,Total,276.43
Australia ,2009,Equity,127.872
Australia ,2009,LT Debt,107.326
Australia ,2009,ST Debt,41.233
Australia ,2008,Total,145.543
Australia ,2008,Equity,65.239
Australia ,2008,LT Debt,71.033
Australia ,2008,ST Debt,9.27
Australia ,2007,Total,222.684
Australia ,2007,Equity,138.131
Australia ,2007,LT Debt,73.336
Australia ,2007,ST Debt,11.217
Australia ,2006,Total,173.153
Australia ,2006,Equity,101.99
Australia ,2006,LT Debt,61.634
Australia ,2006,ST Debt,9.529
Australia ,2005,Total,128.202
Australia ,2005,Equity,71.141
Australia ,2005,LT Debt,48.56
Australia ,2005,ST Debt,8.501
Australia ,2004,Total,103.412
Australia ,2004,Equity,57.052
Australia ,2004,LT Debt,40.366
Australia ,2004,ST Debt,5.994
Australia ,2003,Total,90.502
Australia ,2003,Equity,56.454
Australia ,2003,LT Debt,29.218
Australia ,2003,ST Debt,4.83
Austria,2020,Total,24.694
Austria,2020,Equity,12.328
Austria,2020,LT Debt,12.173
Austria,2020,ST Debt,0.194
Austria,2019,Total,26.447
Austria,2019,Equity,14.123
Austria,2019,LT Debt,12.299
Austria,2019,ST Debt,0.025
Austria,2018,Total,24.515
Austria,2018,Equity,12.503
Austria,2018,LT Debt,11.703
Austria,2018,ST Debt,0.309
Austria,2017,Total,32.061
Austria,2017,Equity,19.154
Austria,2017,LT Debt,11.644
Austria,2017,ST Debt,1.263
Austria,2016,Total,18.354
Austria,2016,Equity,11.309
Austria,2016,LT Debt,6.995
Austria,2016,ST Debt,0.05
Austria,2015,Total,17.33
Austria,2015,Equity,10.732
Austria,2015,LT Debt,6.577
Austria,2015,ST Debt,0.022
Austria,2014,Total,19.523
Austria,2014,Equity,11.417
Austria,2014,LT Debt,7.713
Austria,2014,ST Debt,0.392
Austria,2013,Total,18.777
Austria,2013,Equity,11.349
Austria,2013,LT Debt,7.426
Austria,2013,ST Debt,0.002
Austria,2012,Total,14.408
Austria,2012,Equity,8.824
Austria,2012,LT Debt,5.483
Austria,2012,ST Debt,0.101
Austria,2011,Total,11.522
Austria,2011,Equity,6.108
Austria,2011,LT Debt,5.39
Austria,2011,ST Debt,0.024
Austria,2010,Total,18.07
Austria,2010,Equity,12.286
Austria,2010,LT Debt,5.114
Austria,2010,ST Debt,0.67
Austria,2009,Total,14.973
Austria,2009,Equity,9.876
Austria,2009,LT Debt,4.734
Austria,2009,ST Debt,0.364
Austria,2008,Total,9.923
Austria,2008,Equity,5.564
Austria,2008,LT Debt,4.147
Austria,2008,ST Debt,0.212
Austria,2007,Total,29.008
Austria,2007,Equity,20.075
Austria,2007,LT Debt,6.447
Austria,2007,ST Debt,2.486
Austria,2006,Total,26.568
Austria,2006,Equity,18.144
Austria,2006,LT Debt,5.001
Austria,2006,ST Debt,3.424
